,item_id,NP,Oblig,Error,ErType,ErType2,definiteness,ref,Hawkins,HeadN,Abstract,Rev_abstr,modif,Score,Target_the,Target_zero,NL_Korean,NL_Mandarin,NL_Russian,Ntype_plural,Ntype_sing,Synt_obj,Synt_predprop,Synt_sub
1,2,I heard a sentence last night when I watched TV .,obl,correct,correct_a,correct_art,indef,spec,indef,sentence,abstr,abstr,no_mod,1,False,False,False,True,False,False,False,True,False,False
2,3,I heard a sentence last night when I watched TV .,obl_om,correct,correct_zero,correct_om,indef,spec,indef,TV,concr,concr,no_mod,1,False,True,False,True,False,False,True,True,False,False
3,4,"It is like when you are confronted with frustration , you have to keep your confidence .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,frustration,abstr,abstr,no_mod,1,False,True,False,True,False,False,False,True,False,False
5,6,"Well , finally , my mother took me to the customs window , she gave a passport to man . . .",obl,correct,correct_the,correct_art,def,spec,situational,window,concr,concr,no_mod,1,True,False,False,False,True,False,True,True,False,False
6,7,"Well , finally , my mother took me to the customs window , she gave a passport to man . . .",obl,correct,correct_a,correct_art,indef,spec,indef,passport,concr,concr,no_mod,1,False,False,False,False,True,False,True,True,False,False
7,8,"Well , finally , my mother took me to the customs window , she gave a passport to man . . .",obl,error,omit_the,omit,indef,spec,indef,man,concr,concr,no_mod,0,True,False,False,False,True,False,True,True,False,False
9,10,The third memory is the house we lived .,obl,correct,correct_the,correct_art,def,spec,situational,memory,abstr,abstr,mod,1,True,False,False,False,True,False,True,False,False,True
10,11,"It was situated near Helsinki , big and light house with the small lake behind it ( it was winter , so it was frozen ) .",obl,error,omit_a,omit,indef,spec,indef,house,concr,concr,mod,0,False,False,False,False,True,False,True,False,True,False
12,13,"Just improvise already ! `` To tell the truth , I myself did n't expect what I CAN play like that I did .",obl,correct,correct_the,correct_art,def,spec,situational,truth,abstr,abstr,no_mod,1,True,False,False,False,True,False,True,True,False,False
13,14,If only I had black dense curtains .,obl_om,correct,correct_zero,correct_om,indef,spec,indef,curtains,concr,concr,mod,1,False,True,False,False,True,False,False,True,False,False
14,15,More disappointing thing to me is she said the reason of her bad voice was because she talked with Oprah Winfrey too much on her show .,obl,correct,correct_the,correct_art,def,spec,explanatory,reason,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
18,19,"Before , I went to a library .",obl,error,sub_a_inst_the,error_art,indef,spec,indef,library,concr,concr,no_mod,0,True,False,False,False,False,False,True,True,False,False
