item_id,L1,L2,Position,HeadN,Oblig,Error,Target,ErType,ErType2,Ntype,Synt,modif
1,And he took in my favorite subjects like soccer .,And he took in my favorite subject like soccer .,8,soccer,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
2,"""We 've known each other for only half a year , but his lessons were a lot of fun .""","""We 've known each other for only half a year , but his lesson was a lot of fun .""",11,year,obl,correct,a,correct_a,correct_art,sing,other,no_mod
3,"""We 've known each other for only half a year , but his lessons were a lot of fun .""","""We 've known each other for only half a year , but his lesson was a lot of fun .""",18,lot,obl,correct,a,correct_a,correct_art,sing,other,no_mod
4,I heard a sentence last night when I was watching TV .,I heard a sentence last night when I watched TV .,3,sentence,obl,correct,a,correct_a,correct_art,sing,obj,no_mod
5,I heard a sentence last night when I was watching TV .,I heard a sentence last night when I watched TV .,5,night,obl_om,correct,zero,correct_zero,correct_om,sing,other,mod
6,I heard a sentence last night when I was watching TV .,I heard a sentence last night when I watched TV .,9,TV,obl_om,correct,zero,correct_zero,correct_om,sing,obj,no_mod
7,It is like when you are confronted with frustration and you have to keep your confidence .,"""It is like when you are confronted with frustration , you have to keep your confidence .""",8,frustration,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
8,"""When I was at school , we painted a lot of wooden handywork , like small plates and cases .""","""When I was at school , we painted a lot of wooden handicrafts like small plates and cases .""",5,school,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
9,"""When I was at school , we painted a lot of wooden handywork , like small plates and cases .""","""When I was at school , we painted a lot of wooden handicrafts like small plates and cases .""",10,lot,obl,correct,a,correct_a,correct_art,sing,obj,no_mod
10,"""When I was at school , we painted a lot of wooden handywork , like small plates and cases .""","""When I was at school , we painted a lot of wooden handicrafts like small plates and cases .""",16,plates,obl_om,correct,zero,correct_zero,correct_om,plural,other,mod
11,"""When I was at school , we painted a lot of wooden handywork , like small plates and cases .""","""When I was at school , we painted a lot of wooden handicrafts like small plates and cases .""",18,cases,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
12,Making souvenirs is a hard but interesting work .,The making souvenir is a hard and interesting work .,8,work,obl,correct,a,correct_a,correct_art,sing,pred/prop,mod
13,"""iFinally my mother took me to the customs window , and gave a passport to the man . . .""","""Well , finally , my mother took me to the customs window , she gave a passport to man . . .""",11,customs,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
14,"""iFinally my mother took me to the customs window , and gave a passport to the man . . .""","""Well , finally , my mother took me to the customs window , she gave a passport to man . . .""",12,window,obl,correct,the,correct_the,correct_art,sing,other,no_mod
15,"""iFinally my mother took me to the customs window , and gave a passport to the man . . .""","""Well , finally , my mother took me to the customs window , she gave a passport to man . . .""",17,passport,obl,correct,a,correct_a,correct_art,sing,obj,no_mod
16,"""iFinally my mother took me to the customs window , and gave a passport to the man . . .""","""Well , finally , my mother took me to the customs window , she gave a passport to man . . .""",19,man,obl,error,the,omit_the,over,sing,other,no_mod
17,"""There are two balls : one with a cat inside , the other with dog .""","""That 's two balls : one with a cat inside , other with dog .""",4,balls,obl_om,correct,zero,correct_zero,correct_om,plural,sub,no_mod
18,"""There are two balls : one with a cat inside , the other with dog .""","""That 's two balls : one with a cat inside , other with dog .""",9,cat,obl,correct,a,correct_a,correct_art,sing,other,no_mod
19,"""There are two balls : one with a cat inside , the other with dog .""","""That 's two balls : one with a cat inside , other with dog .""",14,dog,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
20,"""You know , you can ( win ? ) them at a slot machine .""","""You know , you can take them at slot machine .""",9,slot,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
21,"""You know , you can ( win ? ) them at a slot machine .""","""You know , you can take them at slot machine .""",10,machine,obl,error,a,omit_a,over,sing,other,no_mod
22,The third memory is the house where we lived .,The third memory is the house we lived .,2,memory,obl,correct,the,correct_the,correct_art,sing,sub,mod
23,The third memory is the house where we lived .,The third memory is the house we lived .,5,house,obl,correct,the,correct_the,correct_art,sing,pred/prop,no_mod
24,"""It was situated near Helsinki , a big and light house with e a small lake behind it . It was winter , so it was frozen .""","""It was situated near Helsinki , big and light house with the small lake behind it ( it was winter , so it was frozen ) .""",10,house,obl,error,a,omit_a,over,sing,appos,mod
25,"""It was situated near Helsinki , a big and light house with e a small lake behind it . It was winter , so it was frozen .""","""It was situated near Helsinki , big and light house with the small lake behind it ( it was winter , so it was frozen ) .""",14,lake,obl,error,a,sub_the_inst_a,error_art,sing,other,mod
26,"""It was situated near Helsinki , a big and light house with e a small lake behind it . It was winter , so it was frozen .""","""It was situated near Helsinki , big and light house with the small lake behind it ( it was winter , so it was frozen ) .""",20,winter,obl_om,correct,zero,correct_zero,correct_om,sing,pred/prop,no_mod
27,"""Just start improvising ! `` To tell the truth , I myself did n't expect""","""Just improvise already ! `` To tell the truth , I myself did n't expect what I CAN play like that I did .""",10,truth,obl,correct,the,correct_the,correct_art,sing,obj,no_mod
28,If only I had dense black curtains .,If only I had black dense curtains .,6,curtains,obl_om,correct,zero,correct_zero,correct_om,plural,obj,mod
29,"""A couple of weeks ago , I heard a new Whitney Houston tune / song on my car radio .""","""A couple of weeks ago , I heard a new Whitney Houston 's tune on my car radio .""",2,couple,obl,correct,a,correct_a,correct_art,sing,other,no_mod
30,"""A couple of weeks ago , I heard a new Whitney Houston tune / song on my car radio .""","""A couple of weeks ago , I heard a new Whitney Houston 's tune on my car radio .""",4,weeks,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
31,"""A couple of weeks ago , I heard a new Whitney Houston tune / song on my car radio .""","""A couple of weeks ago , I heard a new Whitney Houston 's tune on my car radio .""",17,car,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
32,I know about her tumultuous marriage with Bobby Brown and an arduous battle with her drug addiction .,I know her tumultuous marriage with Bobby Brown and an arduous battle with drug addiction .,11,battle,obl_om,correct,zero,correct_zero,correct_om,sing,other,mod
33,I know about her tumultuous marriage with Bobby Brown and an arduous battle with her drug addiction .,I know her tumultuous marriage with Bobby Brown and an arduous battle with drug addiction .,13,drug,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
34,More disappointing to me is she said the reason for her bad voice that day ? was because she talked with Oprah Winfrey too much on her show .,More disappointing thing to me is she said the reason of her bad voice was because she talked with Oprah Winfrey too much on her show .,9,reason,obl,correct,the,correct_the,correct_art,sing,obj,no_mod
35,"""That might be one of the reasons , however , to me it just sounds like an excuse .""","""That might be one of the reasons , however , it sounds like just an excuse .""",7,reasons,obl,correct,the,correct_the,correct_art,plural,other,no_mod
36,"""That might be one of the reasons , however , to me it just sounds like an excuse .""","""That might be one of the reasons , however , it sounds like just an excuse .""",16,excuse,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
37,"""I would say after 10 years of waiting , it has not failed its title , at least not from my first impression .""","""I would say after 10 years of waiting , it has not failed its title , at least from my first impression .""",6,years,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
38,"""Anyway , I think I 'll spend quite some time playing it in the next few weeks .""","""Anyway , I think I 'll spent quite some playing it in the next few weeks .""",16,weeks,obl,correct,the,correct_the,correct_art,plural,other,mod
39,On the way I got a headache .,On the way I had a headache .,2,way,obl,correct,the,correct_the,correct_art,sing,other,no_mod
40,On the way I got a headache .,On the way I had a headache .,6,headache,obl,correct,a,correct_a,correct_art,sing,obj,no_mod
41,"""I already forgot about Rise Against and it is a great surprise for me , because I have n't listened to them for 2 years .""","""I already forgot about Rise Against an it is a great surprise for me , because I did n't return to them for 2 years .""",12,surprise,obl,correct,a,correct_a,correct_art,sing,other,mod
42,"""I already forgot about Rise Against and it is a great surprise for me , because I have n't listened to them for 2 years .""","""I already forgot about Rise Against an it is a great surprise for me , because I did n't return to them for 2 years .""",25,years,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
43,"""I hope this band did n't become worse , like many others big ones did , and I 'll enjoy listening to it .""",I hope this band did n't become worse yet like many others big ones and I 'll enjoy listening it .,12,others,obl_om,correct,zero,correct_zero,correct_om,plural,sub,mod
44,It 's because my mum is probably the best cook I have ever met in my life .,It 's because my mum is probably the best cook I have met in my life .,9,cook,obl,correct,the,correct_the,correct_art,sing,pred/prop,mod
45,"""Cooking is not her profession ; but rather , she is a housewife .""","""Cooking is not her profession , she is a housewife .""",1,Cooking,obl_om,correct,zero,correct_zero,correct_om,sing,sub,no_mod
46,"""Cooking is not her profession ; but rather , she is a housewife .""","""Cooking is not her profession , she is a housewife .""",10,housewife,obl,correct,a,correct_a,correct_art,sing,other,no_mod
47,I have eaten at hotels and have had expensive meals but they are nothing like what she cooks .,I have ate at hotels and expensive meals but they are nothing like what she cooks .,4,hotels,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
48,I have eaten at hotels and have had expensive meals but they are nothing like what she cooks .,I have ate at hotels and expensive meals but they are nothing like what she cooks .,7,meals,obl_om,correct,zero,correct_zero,correct_om,plural,obj,mod
49,I would rather be working outside than be a housewife .,I rather be working outside than be a housewife .,8,housewife,obl,correct,a,correct_a,correct_art,sing,other,no_mod
50,I think it 's been about one and half years now .,I think it 's about for one and half year .,8,half,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
51,I had to write about counseling .,I had to write about counseling .,5,counseling,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
52,This is my first time writing a diary on the internet .,This is my first time to write diary on the internet .,7,diary,obl,error,a,omit_a,over,sing,obj,no_mod
53,This is my first time writing a diary on the internet .,This is my first time to write diary on the internet .,10,internet,obl,correct,the,correct_the,correct_art,sing,other,no_mod
54,I watched a DVD of `` Grey 's anatomy `` today .,I watched DVD `` Grey 's anatomy `` today .,2,DVD,obl,error,a,omit_a,over,sing,obj,no_mod
55,So there is a lot to see .,So there are a lot to see .,4,lot,obl,correct,a,correct_a,correct_art,sing,sub,no_mod
56,I 'm eating a banana every day for my health .,And I 'm eating a banana every day for my health .,6,banana,obl,correct,a,correct_a,correct_art,sing,obj,no_mod
57,I 'm eating a banana every day for my health .,And I 'm eating a banana every day for my health .,8,day,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
58,Bananas gives me energy .,The banana is gather in my stomach and gives me energy .,10,energy,obl_om,correct,zero,correct_zero,correct_om,sing,obj,no_mod
59,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog in the newspaper .,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog on the news paper .,5,newspaper,obl,correct,a,correct_a,correct_art,sing,obj,no_mod
60,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog in the newspaper .,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog on the news paper .,10,summer,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
61,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog in the newspaper .,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog on the news paper .,11,vacation,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
